p_brand,p_cate,p_image,p_mall,p_name,p_number_reviews,p_price,p_rate1star,p_rate2star,p_rate3star,p_rate4star,p_rate5star,p_rating,s_name,s_rating,s_response_rate,s_ship_ontime
Gumac,Giày dép & Quần áo nữ,//vn-live-05.slatic.net/p/59e3127d94d05f14ab4895b247e77ac6.jpg_720x720q80.jpg_.webp,Mall,Đầm nữ xếp ly eo GUMAC mẫu mới DB571 Chất Liệu Cotton Misa form hơi ôm style công sở,58 đánh giá,229.000 ₫,0,0,0,4,54,4.9,GUMAC,98%,99%,100%
No Brand,Giày dép & Quần áo nữ,//vn-live-05.slatic.net/p/80ef440a454e66dfc04086d51fffd617.jpg_720x720q80.jpg_.webp,Non-Mall,[Yến Trần] Đầm-Váy Suông Gấu Nana Hot,146 đánh giá,50.000 ₫,1,1,5,11,128,4.8,Tổng Kho Yến Trần,95%,97%,100%
Gumac,Giày dép & Quần áo nữ,//vn-live-05.slatic.net/p/b68f7556a5b840e3c9df3c7f8fb9bc1f.jpg_720x720q80.jpg_.webp,Mall,Đầm nữ eo chun nhún tùng GUMAC DB633,30 đánh giá,189.000 ₫,1,0,1,0,28,4.8,GUMAC,98%,99%,100%
No Brand,Giày dép & Quần áo nữ,//vn-live-05.slatic.net/p/a6db034c7678f29294dc3932d61965ca.png_720x720q80.jpg_.webp,Non-Mall,ĐẦM NGỦ PHI BÓNG REN MÀU SEXY 2 SIZE 45-55KG,176 đánh giá,36.960 ₫,9,3,13,15,136,4.5,MINH THU SHOPPING,96%,98%,100%
EDINI,Giày dép & Quần áo nữ,//vn-live-05.slatic.net/p/1277bc8ed75b6794e5d3e9097b0cc59e.jpg_720x720q80.jpg_.webp,Mall,EDINI - Đầm hai dây da lộn 4 màu D1333- D1334 - D1335 - D1336,13 đánh giá,300.000 ₫,,,,,,,EDINI,96%,98%,100%
No Brand,Giày dép & Quần áo nữ,//vn-live-05.slatic.net/p/b4af741bea31ed6b45a0f19c11b371e8.jpg_720x720q80.jpg_.webp,Non-Mall,Đầm body dài tay cổ vuông cúc bấm thời trang XIXO cao cấp sang mịn đẹp,97 đánh giá,81.200 ₫,4,0,1,3,89,4.8,XIXO,96%,93%,100%
No Brand,Giày dép & Quần áo nữ,//vn-live-05.slatic.net/p/63abb98b5b88fe7ce3894b971f721e21.jpg_720x720q80.jpg_.webp,Non-Mall,Váy Suông Cotton LAURENT Dáng Dài From Rộng Tới 75KG,82 đánh giá,51.800 ₫,1,2,2,1,76,4.8,Tổng Kho Yến Trần,95%,97%,100%
No Brand,Giày dép & Quần áo nữ,//vn-live-05.slatic.net/p/27105efb014930a2c551d3dce6fd5015.jpg_720x720q80.jpg_.webp,Non-Mall,Đầm Voan Hai Dây Nhún Ngực Phối Nút Giữa Dịu Dàng TT0019 (TTV0020),5 đánh giá,44.999 ₫,0,0,0,0,5,5.0,ThoiTrangVang,87%,99%,100%
Dottie,Giày dép & Quần áo nữ,//vn-live-05.slatic.net/p/812fc28d700525702a074cc10747b5ea.jpg_720x720q80.jpg_.webp,Mall,Đầm dài xếp ly ngực nữ DOTTIE đen - D0145,3 đánh giá,188.000 ₫,0,0,1,0,2,4.3,Dottie Store,96%,92%,100%
No Brand,Giày dép & Quần áo nữ,//vn-live-05.slatic.net/p/cc2e491bc91a388e10f4aec918e5d098.jpg_720x720q80.jpg_.webp,Non-Mall,Đầm maxi Shynstores - váy suông nữ 2 dây cổ tim basic vải mềm form rộng freeship,224 đánh giá,59.000 ₫,13,3,11,22,175,4.5,Shynstores,93%,100%,100%
