p_brand,p_cate,p_image,p_mall,p_name,p_number_reviews,p_price,p_rate1star,p_rate2star,p_rate3star,p_rate4star,p_rate5star,p_rating,s_name,s_rating,s_response_rate,s_ship_ontime
Laptop,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/b6b2204ef02cb59d51d04c27ecd8756f.jpg_720x720q80.jpg_.webp,Non-Mall,Laptop Asus E402 N3050/2GB/500GB thiết kế nhỏ gọn phù hợp giải trí lướt web 2018 - Bảo hành 12 tháng,13,5299000,1,2,0,0,10,84,Siêu Thị Điện tử Nhập Khẩu Ntech,74,---,100
Dell,Máy vi tính & Laptop,https://filebroker-s.slatic.net/S55a22b75b8cf4d1384dac232f7de59b8h.jpg_720x720q80.jpg_.webp,Non-Mall,Laptop Dell 6440 core i5-4200M ram 4gb ssd 120gb vga,0,7850000,0,0,0,0,0,0,laptopcuzin,85,93,100
OEM,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/04fb783171822b86bb2e6c0d0734f6e8.jpg_720x720q80.jpg_.webp,Non-Mall,Laptop Dell Latitude E5420 Core i5 2430 4G SSD 120G Màn 14.0 - Dell USA,0,3490000,0,0,0,0,0,0,Laptop 86,77,---,100
No Brand,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/d950a4f1a968393409598f75657a9337.jpg_720x720q80.jpg_.webp,Non-Mall,Lenovo Thinkpad X260 i5 6300u | Ram 8GB PC4 | SSD 256GB,0,7500000,0,0,0,0,0,0,Máy tính mỹ,100,---,100
HP,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/663cae2b7ea913b00ca694d0b737885e.jpg_720x720q80.jpg_.webp,Mall,"Laptop Pavilion 14-dv0512TU/ i5-1135G7/ 8G/ 512 SSD/ 14""FHD/ Wl+BT/ 3cell/ W10/ Silver/46L81PA/Gold/46L79PA/win11/office bản quyền",12,18583000,0,0,0,2,10,96,HP Certified Store by Tuấn Thành,95,92,100
HP,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/6dac1c83a5059915c7a84034d0d41a68.png_720x720q80.jpg_.webp,Non-Mall,"Máy tính xách tay HP 15s-du1105TU  Core i3-10110U 4GB RAM 256GB SSD Intel Graphics 15.6''HD - Hàng chính hãng - Bảo hành 1 năm",0,12490000,0,0,0,0,0,0,HP Flagship Store,93,100,100
Thinkpad,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/1fb857ab8ff01334215cac224588925e.jpg_720x720q80.jpg_.webp,Non-Mall,Lenovo Thinkpad X260 i5 6300u | Ram 8GB PC4 | SSD 256GB NHỎ GỌN SANG TRỌNG BỀN BỈ MẠNH MẼ,13,6500000,0,0,0,1,12,98,Lap top Kiên Long,92,---,100
No Brand,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/77f2c971928913b6f88e7076db6a2819.jpg_720x720q80.jpg_.webp,Non-Mall,Siêu Phẩm Utrabook Mỏng Nhẹ cao cấp-HP EliteBook 840 G1 ,12,6900000,1,0,0,0,11,94,Laptop Thảo Linh,88,98,100
ASUS,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/80f3965a838915a564fa021a2ffc0af8.jpg_720x720q80.jpg_.webp,Non-Mall,Asus X450La i3 4030U Ram 4GB HDD 500GB 14inch,7,5500000,1,0,0,0,6,88,Laptop Cường Thịnh,94,74,100
No Brand,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/aa4e02021d528abe1756534d25a023fa.jpg_720x720q80.jpg_.webp,Non-Mall,"laptop Nec VersaPro PC-VK18 core i7-3517U ram 4gb ssd 128GB Màn hình 13.3"" HD vỏ nhồm siêu bên",0,5500000,0,0,0,0,0,0,Trung computer,83,97,100
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/d306c105f0a1ccc1f2b2a5862a394083.jpg_720x720q80.jpg_.webp,Non-Mall,Laptop Dell Latitude E7270 core i5 tặng cặp chuột add sẵn 2 phần mềm tienganh123 luyenthi123 bản quyền,0,7479000,0,0,0,0,0,0,Mtbstore,96,93,100
Apple,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/ad4fef67ab4d28dc97d3e2b6bb06a64c.png_720x720q80.jpg_.webp,Non-Mall,[Trả góp 0%]Macbook Air M1 2020 Ram 8GB/256GB Chính hãng Apple nguyên seal fullbox mới 100%,1,26490000,0,0,0,0,1,100,iuretailer,85,---,100
No Brand,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/2/laptop-Dell-latitude-e6520-core-i5-2520-4g-ssd-120g-vga-hdman-156inch-hang-nhap-khau-0210-64700943-ffaf7a86889b183c09cd96d9d62aa4dc-catalog.jpg_720x720q80.jpg_.webp,Non-Mall,Laptop Dell Latitude E6520 Core i5 2520 /4G/ SSD 120G/ VGA HD/Màn 15.6inch - Hàng nhập khẩu,1,4690000,0,0,0,1,0,80,Laptop 86,77,---,100
SONY,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/738d5317ba57682956decbd45040d162.jpg_720x720q80.jpg_.webp,Non-Mall,Laptop Sony Vaio Duo 13,12,6690000,1,0,1,1,9,88,Maytinhnhapkhaugiare,83,100,100
No Brand,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/77c4a48aee04bf505a618819bb5851a1.jpg_720x720q80.jpg_.webp,Non-Mall," Laptop DELL ĐỜI CAO HỌC TẬP  HỌC ZOOM  LÀM VIỆC  CHƠI GAME Latitude E5440 I5-4300U / RAM 4GB / SSD 128GB / MÀN 14.1″ LED / VGA NVIDIA GT 720M 2GB ""Tặng TÚI ĐỰNG  TAI NGHE  CHUỘT""",10,6999000,0,0,0,0,10,100,DIEUMINHCHAU,96,85,100
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/2bd2d8040f5ec98ad9c92ef7c0872076.jpg_720x720q80.jpg_.webp,Non-Mall,Laptop Văn Phòng Laptop Đi Học Dell Latitude 7270 i5-6300U VGA On Intel HD 520 Màn 12.5 inch Laptop Dell,2,8300000,0,0,0,0,2,100,Chuyên laptop gaming- đồ hoạ - văn phòng,98,100,100
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/08dadefff9acbe9c7b6c500e25b1d2eb.jpg_720x720q80.jpg_.webp,Non-Mall,Laptop Dell Latitude E7270,0,7390000,0,0,0,0,0,0,Maytinhnhapkhaugiare,83,100,100
Dell,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/80c96e306a9ec42482f91cc94e9966f5.jpg_720x720q80.jpg_.webp,Non-Mall," Dell Inspiron 15 3511 ",0,13200000,0,0,0,0,0,0,LAPTOPGAME,94,100,100
Thinkpad,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/e8bd25b9e7169665fd332de061474cf4.jpg_720x720q80.jpg_.webp,Non-Mall,Lenovo Thinkpad Yoga 460,8,8990000,0,0,0,0,8,100,Maytinhnhapkhaugiare,83,100,100
HP,Máy vi tính & Laptop,//vn-live-05.slatic.net/p/10c092770196ddc77fea13edda139508.jpg_720x720q80.jpg_.webp,Non-Mall,Laptop Business HP Probook 6560b Core i5-2310M/ Ram 4Gb/ SSD 128Gb siêu tốc/ 15.6 inch HD Bàn phím số - Hàng xách tay,0,4356550,0,0,0,0,0,0,183 SHOP,96,89,100
